LAT,LON,CNTY_NAME,CITY_TOWN_NAME,num
41.90848304,-71.04112633,BRISTOL,RAYNHAM,1
41.90879535,-71.04093052,BRISTOL,RAYNHAM,3
41.90880705,-71.16522244,BRISTOL,TAUNTON,1
41.90900986,-70.97489404,PLYMOUTH,MIDDLEBOROUGH,1
41.90937935,-71.09466625,BRISTOL,TAUNTON,1
41.90948391,-71.17181802,BRISTOL,TAUNTON,1
41.91023734,-71.131395,BRISTOL,TAUNTON,1
41.91061631,-71.039622,BRISTOL,RAYNHAM,1
41.91082878,-70.88290287,PLYMOUTH,MIDDLEBOROUGH,1
41.91101612,-70.87404338,PLYMOUTH,MIDDLEBOROUGH,1
41.91121604,-71.1408191,BRISTOL,TAUNTON,1
41.91125083,-70.76824114,PLYMOUTH,CARVER,1
41.91137597,-70.88292663,PLYMOUTH,MIDDLEBOROUGH,1
41.9116152,-70.88226596,PLYMOUTH,MIDDLEBOROUGH,1
41.91323611,-71.1412024,BRISTOL,TAUNTON,1
41.91348879,-70.80246224,PLYMOUTH,CARVER,1
41.91360928,-71.08240541,BRISTOL,TAUNTON,1
41.91369189,-71.06244886,BRISTOL,RAYNHAM,1
41.91380987,-71.08284663,BRISTOL,TAUNTON,1
41.91384885,-71.09160286,BRISTOL,TAUNTON,1
41.91392815,-71.09159373,BRISTOL,TAUNTON,1
41.91604525,-71.0628322,BRISTOL,RAYNHAM,1
41.9161837,-71.09373781,BRISTOL,TAUNTON,1
41.91619178,-71.09371767,BRISTOL,TAUNTON,1
41.91639746,-70.84084024,PLYMOUTH,MIDDLEBOROUGH,1
41.91641541,-71.08789876,BRISTOL,TAUNTON,1
41.91692736,-71.04464008,BRISTOL,RAYNHAM,1
41.91714162,-70.86154813,PLYMOUTH,MIDDLEBOROUGH,1
41.91720164,-70.70473217,PLYMOUTH,PLYMOUTH,1
41.91740047,-70.96218051,PLYMOUTH,MIDDLEBOROUGH,1
41.91833649,-70.87442498,PLYMOUTH,MIDDLEBOROUGH,1
41.91855581,-70.98948333,PLYMOUTH,MIDDLEBOROUGH,1
41.91860699,-70.96239239,PLYMOUTH,MIDDLEBOROUGH,1
41.91897935,-70.87454744,PLYMOUTH,MIDDLEBOROUGH,1
41.91967426,-71.17527515,BRISTOL,TAUNTON,1
41.91987483,-71.09222525,BRISTOL,TAUNTON,1
41.91988135,-70.68203961,PLYMOUTH,PLYMOUTH,1
41.92004995,-71.09571246,BRISTOL,TAUNTON,1
41.92110583,-71.04959021,BRISTOL,RAYNHAM,2
41.92143851,-71.09183925,BRISTOL,TAUNTON,1
41.92144881,-71.0917533,BRISTOL,TAUNTON,1
41.92148433,-70.80372785,PLYMOUTH,CARVER,1
41.92152247,-71.13765054,BRISTOL,TAUNTON,1
41.92157511,-71.09069893,BRISTOL,TAUNTON,2
41.92204523,-70.70336271,PLYMOUTH,PLYMOUTH,1
41.92211678,-70.70332987,PLYMOUTH,PLYMOUTH,1
41.92322773,-71.1025516,BRISTOL,TAUNTON,1
41.92338154,-71.10599149,BRISTOL,TAUNTON,1
41.92445986,-71.09761232,BRISTOL,TAUNTON,1
41.92469676,-71.09693989,BRISTOL,TAUNTON,1
41.92489678,-71.09637318,BRISTOL,TAUNTON,1
41.92502234,-70.91988025,PLYMOUTH,MIDDLEBOROUGH,1
41.92542973,-71.12393384,BRISTOL,TAUNTON,1
41.92558456,-71.12385806,BRISTOL,TAUNTON,1
41.92622373,-71.09846504,BRISTOL,TAUNTON,1
41.9270195,-71.04514076,BRISTOL,RAYNHAM,1
41.92829778,-71.08812944,BRISTOL,TAUNTON,1
41.92909911,-71.05251897,BRISTOL,RAYNHAM,1
41.93203696,-70.65840184,PLYMOUTH,PLYMOUTH,1
41.9320506,-70.81030864,PLYMOUTH,CARVER,1
41.93267841,-70.6580671,PLYMOUTH,PLYMOUTH,3
41.93273382,-70.88446957,PLYMOUTH,MIDDLEBOROUGH,1
41.93280569,-70.88450235,PLYMOUTH,MIDDLEBOROUGH,1
41.93287394,-70.9671757,PLYMOUTH,MIDDLEBOROUGH,1
41.93295623,-71.10405978,BRISTOL,TAUNTON,1
41.93306838,-71.15597979,BRISTOL,TAUNTON,1
41.93387688,-71.10496814,BRISTOL,TAUNTON,1
41.93416706,-70.70283847,PLYMOUTH,PLYMOUTH,1
41.93436962,-71.08265418,BRISTOL,RAYNHAM,1
41.93458805,-71.082482,BRISTOL,RAYNHAM,1
41.93461956,-71.06165872,BRISTOL,RAYNHAM,1
41.93476891,-70.9225983,PLYMOUTH,MIDDLEBOROUGH,1
41.93488778,-70.65284146,PLYMOUTH,PLYMOUTH,2
41.93504238,-71.08213361,BRISTOL,RAYNHAM,1
41.93572536,-71.12871452,BRISTOL,TAUNTON,1
41.93583261,-70.59856446,PLYMOUTH,PLYMOUTH,1
41.93652496,-70.59298799,PLYMOUTH,PLYMOUTH,1
41.93753247,-70.60393894,PLYMOUTH,PLYMOUTH,1
41.93761293,-70.7185756,PLYMOUTH,PLYMOUTH,1
41.93768515,-71.08033045,BRISTOL,RAYNHAM,1
41.93806519,-70.65670513,PLYMOUTH,PLYMOUTH,1
41.938407,-70.60828262,PLYMOUTH,PLYMOUTH,1
41.93845484,-71.07981032,BRISTOL,RAYNHAM,1
41.93967249,-71.022801,PLYMOUTH,BRIDGEWATER,1
41.94050821,-71.11368174,BRISTOL,TAUNTON,1
41.94090459,-71.07815477,BRISTOL,RAYNHAM,1
41.9411149,-71.01661456,BRISTOL,RAYNHAM,1
41.94288941,-71.05144376,BRISTOL,RAYNHAM,1
41.94320262,-70.70925992,PLYMOUTH,PLYMOUTH,1
41.9453593,-71.01790449,PLYMOUTH,BRIDGEWATER,1
41.9465302,-70.66037526,PLYMOUTH,PLYMOUTH,1
41.94680252,-70.97998735,PLYMOUTH,BRIDGEWATER,1
41.9475111,-71.0222856,BRISTOL,RAYNHAM,3
41.9475111,-71.0222856,PLYMOUTH,BRIDGEWATER,1
41.94802118,-71.02222451,BRISTOL,RAYNHAM,1
41.94802567,-71.14107304,BRISTOL,TAUNTON,1
41.94879664,-70.69567876,PLYMOUTH,PLYMOUTH,1
41.94899536,-71.07289442,BRISTOL,RAYNHAM,1
41.94916217,-71.01039748,PLYMOUTH,BRIDGEWATER,1
41.94927201,-71.00989087,PLYMOUTH,BRIDGEWATER,1
41.94995811,-70.71475602,PLYMOUTH,PLYMOUTH,1
41.95024697,-71.14461028,BRISTOL,NORTON,1
41.95028694,-71.0670386,BRISTOL,RAYNHAM,1
41.95031923,-70.6791242,PLYMOUTH,PLYMOUTH,1
41.95115571,-70.68868434,PLYMOUTH,PLYMOUTH,2
41.95124112,-71.13932522,BRISTOL,TAUNTON,1
41.95154486,-70.68802269,PLYMOUTH,PLYMOUTH,1
41.95198785,-70.68725596,PLYMOUTH,PLYMOUTH,1
41.95239538,-70.68645739,PLYMOUTH,PLYMOUTH,1
41.95246497,-70.81395615,PLYMOUTH,PLYMPTON,1
41.95259333,-70.67057123,PLYMOUTH,PLYMOUTH,1
41.95289634,-70.68537524,PLYMOUTH,PLYMOUTH,1
41.95333323,-70.66187307,PLYMOUTH,PLYMOUTH,1
41.95340922,-70.66028261,PLYMOUTH,PLYMOUTH,1
41.95375285,-70.68384125,PLYMOUTH,PLYMOUTH,1
41.95406932,-71.07032441,BRISTOL,RAYNHAM,2
41.95417289,-70.71168458,PLYMOUTH,PLYMOUTH,1
41.95453985,-70.68233816,PLYMOUTH,PLYMOUTH,1
41.95462057,-70.66275745,PLYMOUTH,PLYMOUTH,1
41.95474423,-71.00500266,PLYMOUTH,BRIDGEWATER,1
41.95507575,-71.07007406,BRISTOL,RAYNHAM,1
41.95509149,-70.68089266,PLYMOUTH,PLYMOUTH,1
41.95513267,-71.02532811,PLYMOUTH,BRIDGEWATER,1
41.95523256,-71.11508156,BRISTOL,TAUNTON,1
41.95647675,-70.71105049,PLYMOUTH,PLYMOUTH,1
41.9564869,-71.11641383,BRISTOL,TAUNTON,1
41.95650073,-71.1121826,BRISTOL,TAUNTON,1
41.95689056,-71.11694935,BRISTOL,TAUNTON,1
41.95727731,-70.67535866,PLYMOUTH,PLYMOUTH,1
41.95760236,-70.66608205,PLYMOUTH,PLYMOUTH,1
41.95763112,-70.6743246,PLYMOUTH,PLYMOUTH,2
41.95767397,-71.06954498,BRISTOL,RAYNHAM,1
41.9581572,-71.06916641,BRISTOL,RAYNHAM,1
41.95900776,-71.11965452,BRISTOL,TAUNTON,1
41.9591894,-71.07416243,BRISTOL,RAYNHAM,1
41.95925689,-70.71003547,PLYMOUTH,PLYMOUTH,1
41.95929254,-71.07637176,BRISTOL,RAYNHAM,3
