,CITY_TOWN_NAME,CRASH_HOUR,DRVR_CNTRB_CIRC_CL,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON,DRVR_DISTRACTED_CL,CNTY_NAME,SPEED_LIMIT,SURFACE_TP,STRUCT_CND
3974,HOPKINTON,15,Tailgating,Not at junction,No controls,42.20573372,-71.55889037, D1: Talking on hand-held electronic device,MIDDLESEX,45.0,Bituminous concrete road,Good
3975,LEXINGTON,7,Diregarded traffic markings,Four-way intersection,Traffic control signal,42.45304286,-71.2326058," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,35.0,Bituminous concrete road,Fair
3976,MANSFIELD,10,Tailgating,Not at junction,Traffic control signal,42.01727124,-71.22754314," D1: Other activity (searching, eating, personal hygiene, etc.)",BRISTOL,35.0,Bituminous concrete road,Good
3977,FRAMINGHAM,11,Distracted/Inattention,Not at junction,No controls,42.30754791,-71.43416961, D1: Passenger,MIDDLESEX,30.0,Bituminous concrete road,Good
3978,FRAMINGHAM,16,Distracted/Inattention,T-intersection,No controls,42.29791263,-71.41451808," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,40.0,Bituminous concrete road,Fair
3979,FRAMINGHAM,14,Distracted/Inattention,T-intersection,Stop signs,42.29963089,-71.44112714," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,40.0,Bituminous concrete road,Fair
3980,DEDHAM,17,Diregarded traffic markings,T-intersection,Flashing traffic control signal,42.24705185,-71.1542041, D1: External distraction (outside the vehicle),NORFOLK,25.0,Surface-treated road,Fair
3981,HAVERHILL,15,Other causes,T-intersection,Stop signs,42.77765569,-71.08654624, D1: External distraction (outside the vehicle),ESSEX,35.0,Bituminous concrete road,Good
3982,HAVERHILL,15,Other causes,Off-ramp,Yield signs,42.74958429,-71.10888867, D1: External distraction (outside the vehicle),ESSEX,35.0,Bituminous concrete road,Good
3983,BOSTON,20,Tailgating,Not at junction,No controls,42.34865062,-71.1046735, D1: External distraction (outside the vehicle),SUFFOLK,45.0,Bituminous concrete road,Good
3984,IPSWICH,16,Uncontrollable factors,Driveway,No controls,42.70833375,-70.81190993," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,25.0,Bituminous concrete road,Good
